max_camber_pct,camber_pos_pct,thickness_pct,alpha_deg,mach,CL,CD,CM
0.63,26.8,13.02,2.763,0.4427,0.4162,0.00658,-0.0055
6.81,43.6,10.62,2.537,0.2213,1.2358,0.00635,-0.0162
0.93,53.2,15.9,-4.943,0.1013,-0.3975,0.00843,0.0027
4.11,45.733,19.14,9.337,0.472,1.3484,0.0127,-0.0096
3.51,38.533,7.98,5.257,0.2293,1.0653,0.00816,-0.015
5.61,58.8,12.06,-4.377,0.4613,0.4898,0.00552,0.019
0.33,34.533,19.38,-1.317,0.36,-0.1021,0.00652,-0.0016
7.53,40.667,21.3,-2.223,0.1067,0.7668,0.00659,-0.0219
2.01,59.867,19.5,3.33,0.3387,0.7432,0.00865,0.005
4.65,28.933,16.98,10.697,0.2987,1.3591,0.01106,-0.0353
2.67,25.733,16.26,-3.357,0.3627,-0.0907,0.00718,-0.0187
8.43,38.8,9.18,2.423,0.4373,1.34,0.00575,-0.0313
2.73,36.133,10.02,3.783,0.488,0.8732,0.00797,-0.014
0.75,42.533,22.38,11.377,0.384,1.3357,0.02125,-0.0062
2.91,50.533,13.98,-0.41,0.1707,0.4084,0.00483,-0.0008
0.69,24.4,20.94,6.39,0.12,0.7741,0.01183,-0.0085
0.81,46.267,22.74,5.597,0.4213,0.7992,0.01104,-0.0038
7.29,38.267,16.14,0.043,0.44,1.0536,0.00608,-0.0278
7.59,46.0,12.42,1.29,0.4773,1.3194,0.00718,-0.0105
1.65,22.267,7.26,3.67,0.2133,0.5909,0.00578,-0.0167
1.17,47.867,15.54,-3.47,0.24,-0.2071,0.00674,-0.0004
8.67,36.667,6.66,-4.49,0.2427,0.6188,0.00572,-0.0338
2.61,44.933,15.18,9.223,0.1227,1.3157,0.01543,-0.0087
3.27,52.933,14.94,3.443,0.1733,0.8898,0.00832,0.0002
5.37,22.8,9.78,-2.45,0.3413,0.2975,0.00629,-0.0445
1.23,52.4,14.7,-1.203,0.464,0.0622,0.00575,0.0022
6.21,39.333,19.62,9.11,0.336,1.3321,0.00967,-0.0247
5.85,50.0,20.46,7.75,0.232,1.3702,0.00995,-0.0032
0.09,58.267,9.66,-1.657,0.2587,-0.1549,0.00499,0.0011
4.29,23.867,18.42,-4.15,0.2027,-0.0047,0.00834,-0.0316
6.87,36.4,13.26,10.47,0.1947,1.2954,0.00781,-0.0315
3.39,40.933,21.78,10.583,0.1547,1.3714,0.01447,-0.0113
6.45,44.667,8.1,9.79,0.3173,1.263,0.00708,-0.0156
3.03,27.6,11.7,11.263,0.328,1.3615,0.01425,-0.0269
8.91,21.2,8.46,10.357,0.2853,1.2448,0.00488,-0.0861
7.77,53.467,21.66,-3.017,0.2613,0.8816,0.00627,0.0101
3.57,42.0,22.98,3.103,0.296,0.8613,0.00851,-0.01
3.33,20.133,10.86,4.577,0.152,0.8532,0.00675,-0.0325
1.41,56.133,22.26,6.617,0.4,1.0346,0.01414,0.0008
0.45,56.933,21.42,0.61,0.48,0.1657,0.00682,0.0003
0.51,31.067,20.7,-4.263,0.264,-0.4212,0.00898,-0.0016
6.51,45.467,7.5,1.517,0.432,1.1984,0.00635,-0.0095
1.35,30.533,23.46,1.63,0.456,0.3745,0.00705,-0.0085
8.37,33.467,15.66,3.897,0.288,1.35,0.0061,-0.0465
1.59,59.067,7.86,5.143,0.2693,0.8654,0.00907,0.0033
2.13,40.4,22.62,8.317,0.2773,1.2557,0.01583,-0.0118
3.45,27.333,7.74,0.837,0.408,0.5341,0.00521,-0.0247
3.75,54.533,12.66,1.403,0.424,0.7933,0.00695,0.0051
4.23,32.133,15.06,8.657,0.208,1.3446,0.01196,-0.0284
0.39,54.267,11.82,-3.923,0.4053,-0.3964,0.00729,0.0016
1.71,38.0,10.74,6.05,0.4747,1.01,0.01152,-0.0075
