aspect_ratio,sweep_deg,taper_ratio,thickness_chord,CL_design,mach,CD_induced,CD_wave,CD_profile,LD_ratio
6.825,7.312,0.3438,0.0803,1.0357,0.7606,0.058239,0.019313,0.009397,11.912
12.675,12.488,0.7987,0.1417,0.8107,0.3426,0.024783,0.0,0.010854,22.75
8.475,7.763,0.5082,0.1673,0.3787,0.7139,0.0072,0.0,0.011936,19.793
8.075,10.688,0.7742,0.1303,1.1572,0.3069,0.07059,0.0,0.010086,14.344
14.775,18.113,0.8897,0.1743,1.1887,0.5516,0.047524,0.0,0.011163,20.256
6.625,13.388,0.3752,0.1658,0.4552,0.6286,0.011148,0.0,0.011007,20.549
13.625,8.888,0.9002,0.0973,0.7477,0.3564,0.018264,0.0,0.0101,26.363
13.575,10.013,0.7707,0.0912,1.1977,0.5241,0.051363,0.0,0.009561,19.66
8.025,43.087,0.6238,0.1202,0.6352,0.6369,0.021086,0.0,0.010237,20.28
5.525,1.012,0.5852,0.1437,0.4912,0.4994,0.016669,0.0,0.011126,17.674
12.225,42.863,0.9562,0.1462,1.0852,0.5654,0.045616,0.0,0.010813,19.232
13.025,6.638,0.4067,0.1703,0.4822,0.4499,0.00845,0.0,0.011853,23.753
7.625,35.212,0.6623,0.1113,0.8512,0.3701,0.040017,0.0,0.009982,17.026
11.275,9.338,0.7672,0.1678,0.6847,0.5434,0.01704,0.0,0.011718,23.811
10.325,21.938,0.4522,0.1058,0.7927,0.6561,0.025269,0.0,0.009585,22.745
8.675,42.413,0.6377,0.1783,1.0762,0.3591,0.050386,0.0,0.012091,17.226
10.675,32.062,0.9247,0.1557,0.4327,0.4856,0.008368,0.0,0.010809,22.566
10.275,28.463,0.4032,0.1728,0.9817,0.4389,0.039312,0.0,0.012264,19.035
9.775,14.963,0.3717,0.1247,0.7388,0.7551,0.023333,0.002054,0.010304,20.699
10.175,44.438,0.6342,0.0988,0.9007,0.8101,0.035028,0.0,0.009502,20.228
12.275,10.238,0.6727,0.0823,1.0088,0.7964,0.04059,0.038412,0.009413,11.409
7.175,17.663,0.7497,0.0863,1.1167,0.7496,0.06679,0.00967,0.009381,13.01
5.025,32.288,0.4768,0.1028,1.1392,0.7881,0.093655,0.001923,0.010037,10.787
13.075,40.837,0.8512,0.1638,0.3832,0.7634,0.005148,0.0,0.011392,23.171
14.625,16.988,0.7147,0.0922,0.6712,0.8211,0.015565,0.007916,0.009374,20.431
5.825,22.613,0.3647,0.1748,0.9908,0.7441,0.065709,0.007829,0.011842,11.604
9.025,22.163,0.9212,0.1308,0.5002,0.5131,0.012228,0.0,0.010738,21.782
10.125,19.913,0.7777,0.0983,1.1932,0.5296,0.061936,0.0,0.010058,16.574
6.925,9.562,0.9527,0.1192,1.0222,0.7001,0.060451,0.002133,0.010504,13.987
12.825,5.963,0.7357,0.1158,0.3022,0.3179,0.003285,0.0,0.01041,22.071
13.825,16.312,0.5537,0.1643,0.6038,0.4554,0.013409,0.0,0.011248,24.486
11.775,40.388,0.6482,0.0868,0.7522,0.3344,0.020815,0.0,0.00933,24.955
8.925,7.088,0.6903,0.1683,0.4012,0.5406,0.007768,0.0,0.011944,20.355
10.775,39.938,0.4698,0.1628,0.9637,0.7689,0.039942,0.0,0.011914,18.585
5.975,23.963,0.8652,0.1172,0.3922,0.3454,0.009124,0.0,0.009908,20.61
5.725,42.188,0.9037,0.0907,0.7117,0.3124,0.034051,0.0,0.009648,16.287
13.875,27.562,0.3578,0.1038,0.4507,0.4746,0.006812,0.0,0.009568,27.517
12.325,37.688,0.9737,0.1278,0.4237,0.5956,0.00671,0.0,0.010914,24.044
13.975,5.288,0.8932,0.1472,0.4193,0.5159,0.006008,0.0,0.011014,24.631
8.275,2.363,0.7917,0.1758,0.3562,0.5599,0.006385,0.0,0.011944,19.437
9.225,14.738,0.8372,0.1798,0.3337,0.8046,0.004756,0.003497,0.012334,16.211
13.275,18.338,0.4837,0.0873,0.7208,0.7359,0.019744,0.0,0.009378,24.749
7.325,4.612,0.8442,0.1268,0.4778,0.3151,0.011477,0.0,0.009868,22.383
10.225,15.188,0.9912,0.1427,1.1797,0.7084,0.052791,0.013359,0.011183,15.255
8.975,14.513,0.9143,0.0953,0.9143,0.7221,0.038762,0.000533,0.009823,18.614
7.725,25.538,0.3542,0.1663,1.0132,0.6176,0.050717,0.0,0.010963,16.428
14.825,19.238,0.6552,0.1693,0.7973,0.6974,0.021819,5e-06,0.012144,23.471
9.275,27.113,0.5782,0.1263,0.5587,0.6589,0.014401,0.0,0.010489,22.449
10.925,32.513,0.7077,0.0927,1.1302,0.6149,0.054303,0.0,0.009411,17.739
10.475,9.113,0.3297,0.0958,1.1707,0.7854,0.053125,0.06093,0.009368,9.486
11.675,31.387,0.9808,0.1753,0.4283,0.7414,0.006987,0.0,0.01156,23.09
12.125,29.137,0.4627,0.1537,0.6577,0.7249,0.016995,0.0,0.011333,23.218
6.675,16.762,0.3892,0.1237,0.6442,0.4911,0.020837,0.0,0.010482,20.57
5.925,32.738,0.8197,0.0843,1.1347,0.6231,0.084316,0.0,0.009825,12.054
12.025,26.438,0.7812,0.1217,0.5407,0.4169,0.011528,0.0,0.010242,24.84
11.175,8.438,0.5327,0.0943,1.1617,0.8431,0.050599,0.174088,0.009581,4.959
13.775,33.638,0.9667,0.1023,0.3697,0.6341,0.00492,0.0,0.010066,24.674
8.175,28.688,0.7567,0.1343,0.4417,0.8486,0.010167,9.9e-05,0.010912,20.859
9.175,27.788,0.8547,0.1788,0.3473,0.6671,0.005354,0.0,0.011997,20.014
12.425,20.588,0.3192,0.0813,0.4732,0.3536,0.008709,0.0,0.008962,26.782
10.025,42.638,0.8862,0.1793,0.9277,0.4719,0.038154,0.0,0.012197,18.426
12.775,29.363,0.3857,0.1718,0.7297,0.7826,0.018644,0.000225,0.012337,23.385
8.625,21.038,0.5573,0.0963,0.3877,0.6534,0.0074,0.0,0.009493,22.953
6.375,20.137,0.7602,0.1067,0.7837,0.5076,0.035669,0.0,0.009998,17.163
14.225,36.113,0.7007,0.1283,1.1663,0.4059,0.047395,0.0,0.011162,19.917
10.625,8.213,0.7252,0.1623,1.0897,0.7194,0.048796,0.019702,0.011507,13.621
7.575,38.138,0.5713,0.1778,1.0807,0.4004,0.062122,0.0,0.012012,14.578
13.725,35.663,0.8162,0.1532,0.3427,0.7386,0.004362,0.0,0.01132,21.856
5.225,30.713,0.8057,0.1018,0.8333,0.6919,0.051084,0.0,0.009596,13.732
6.475,0.113,0.6517,0.1328,0.5317,0.7524,0.015213,0.001148,0.010338,19.916
14.175,30.488,0.8758,0.1092,0.3382,0.5764,0.004095,0.0,0.010097,23.834
9.975,25.088,0.7428,0.0938,0.3652,0.4196,0.005434,0.0,0.009431,24.57
9.925,1.688,0.4942,0.1008,0.9997,0.6396,0.040955,0.0,0.01022,19.536
11.575,43.763,0.5677,0.1043,0.8872,0.5791,0.032547,0.0,0.009416,21.144
11.225,35.888,0.9877,0.0968,0.3292,0.5709,0.004422,0.0,0.009912,22.97
14.925,13.838,0.3157,0.0833,1.0717,0.3976,0.040325,0.0,0.009253,21.618
11.725,34.763,0.9457,0.0917,0.4957,0.3234,0.009685,0.0,0.009192,26.261
13.925,11.812,0.5607,0.1613,1.0627,0.3481,0.039971,0.0,0.011853,20.507
11.025,4.838,0.3787,0.1353,1.1032,0.5626,0.049789,0.0,0.010612,18.266
6.725,41.513,0.9597,0.0887,0.5722,0.7771,0.018839,0.0,0.009976,19.86
7.425,44.212,0.6937,0.1598,0.4642,0.5104,0.011182,0.0,0.011511,20.457
13.475,21.713,0.3508,0.1212,0.6307,0.3674,0.014125,0.0,0.01055,25.563
11.925,2.587,0.3122,0.0853,0.3067,0.4361,0.003798,0.0,0.009706,22.716
12.475,39.038,0.4487,0.1527,1.1527,0.3509,0.047692,0.0,0.010743,19.727
11.625,24.188,0.8093,0.1578,0.8738,0.4939,0.028895,0.0,0.010678,22.079
11.375,15.638,0.6763,0.1162,1.0537,0.4609,0.039471,0.0,0.009768,21.401
6.075,18.788,0.6027,0.1177,0.7342,0.6891,0.036778,0.0,0.010533,15.52
9.075,1.463,0.7847,0.1053,0.8017,0.4664,0.026973,0.0,0.00997,21.702
8.875,2.812,0.5292,0.1383,0.6667,0.6836,0.019006,0.0,0.010885,22.306
5.475,15.863,0.5887,0.0818,0.3742,0.5929,0.009136,0.0,0.009183,20.43
9.125,24.637,0.4557,0.1143,0.8422,0.4471,0.033026,0.0,0.009419,19.843
13.225,33.413,0.4242,0.1197,0.7027,0.3949,0.018824,0.0,0.009912,24.456
10.975,31.613,0.6447,0.1593,0.4688,0.5489,0.009226,0.0,0.011218,22.928
9.475,39.263,0.7322,0.1388,0.8827,0.4801,0.038283,0.0,0.010547,18.078
8.425,4.388,0.3612,0.1568,0.3608,0.5049,0.00608,0.0,0.01104,21.072
7.675,30.938,0.5502,0.1013,0.3518,0.7166,0.006677,0.0,0.010046,21.034
9.525,26.663,0.5958,0.1318,1.0312,0.4086,0.042628,0.0,0.010518,19.404
9.725,36.562,0.6587,0.1232,0.4462,0.3839,0.008602,0.0,0.010055,23.919
7.075,10.463,0.4732,0.1507,0.3157,0.7331,0.004586,0.0,0.011115,20.11
9.675,35.438,0.8267,0.0838,0.6487,0.8129,0.017086,0.0,0.00911,24.765
10.825,7.987,0.5012,0.1497,0.5048,0.4581,0.010798,0.0,0.01096,23.198
14.975,25.762,0.5048,0.1358,0.7162,0.8074,0.016818,0.002234,0.010587,24.166
12.875,34.087,0.8792,0.1648,0.5633,0.7991,0.012353,0.0,0.011862,23.26
6.275,11.138,0.6132,0.1573,1.0673,0.3096,0.072678,0.0,0.011137,12.733
14.025,41.288,0.7112,0.1688,0.9503,0.5186,0.031265,0.0,0.011946,21.991
12.375,6.188,0.4802,0.1082,0.4147,0.4114,0.006606,0.0,0.009682,25.465
8.725,40.613,0.4977,0.1487,0.6262,0.4691,0.017278,0.0,0.011405,21.833
7.925,23.288,0.7217,0.1547,0.9052,0.3206,0.043229,0.0,0.011025,16.685
12.625,38.363,0.9072,0.1542,1.1482,0.3866,0.047536,0.0,0.011572,19.426
5.875,5.737,0.6412,0.1182,0.8558,0.6424,0.052982,0.0,0.010339,13.515
7.475,3.038,0.3962,0.1253,0.5497,0.6094,0.01543,0.0,0.010067,21.561
9.625,26.887,0.4417,0.0808,0.9728,0.7744,0.043042,0.000354,0.009639,18.342
8.775,23.738,0.5397,0.1412,0.5137,0.3921,0.012086,0.0,0.01059,22.655
12.075,24.413,0.8618,0.1288,0.9187,0.7909,0.033046,0.008206,0.01042,17.78
6.025,20.363,0.8302,0.0828,0.9772,0.4884,0.063706,0.0,0.009323,13.382
9.825,24.863,0.9632,0.1298,0.6623,0.4444,0.018912,0.0,0.010142,22.794
6.575,39.488,0.8337,0.1338,0.5227,0.7276,0.014454,0.0,0.010387,21.044
11.875,5.513,0.3227,0.1062,0.4372,0.8266,0.007373,0.010441,0.009873,15.793
10.875,10.912,0.6692,0.0877,0.5677,0.6506,0.012089,0.0,0.009232,26.629
5.575,23.512,0.4592,0.1588,0.5902,0.5544,0.023805,0.0,0.011191,16.866
8.375,34.988,0.9492,0.1398,1.0493,0.8404,0.046433,0.008022,0.010574,16.135
9.425,14.062,0.5117,0.1633,0.6127,0.4334,0.016659,0.0,0.011552,21.72
9.575,27.338,0.4382,0.1222,0.8242,0.3371,0.033599,0.0,0.009626,19.069
6.225,33.188,0.6657,0.1323,1.1752,0.7799,0.085271,0.00347,0.010356,11.859
9.875,32.962,0.9387,0.1333,0.6803,0.6259,0.019566,0.0,0.010068,22.954
14.125,7.538,0.6167,0.0882,0.9323,0.6809,0.028481,2e-06,0.009617,24.469
14.525,44.663,0.3927,0.1072,0.7882,0.3014,0.022078,0.0,0.009532,24.936
9.325,44.888,0.5222,0.0998,0.6983,0.6616,0.023082,0.0,0.009303,21.561
14.075,28.012,0.4872,0.1293,0.9097,0.5846,0.031295,0.0,0.010125,21.964
6.975,16.088,0.6202,0.1098,0.9367,0.3811,0.048748,0.0,0.010137,15.908
13.425,13.613,0.8827,0.0993,1.0987,0.7936,0.045177,0.042644,0.009784,11.257
9.375,29.588,0.6272,0.0978,0.7252,0.4774,0.025568,0.0,0.009925,20.433
14.275,38.812,0.5747,0.0902,0.9682,0.5214,0.029536,0.0,0.009389,24.875
7.025,19.012,0.3367,0.1492,0.6532,0.3619,0.022343,0.0,0.010937,19.629
5.075,1.913,0.4137,0.1773,0.5813,0.6204,0.023929,0.0,0.012346,16.023
8.575,3.938,0.6867,0.1227,0.7657,0.3261,0.029256,0.0,0.010203,19.406
12.525,43.988,0.4312,0.1148,0.5542,0.6864,0.011743,0.0,0.010315,25.127
10.725,3.488,0.9423,0.1103,0.6398,0.5819,0.015066,0.0,0.01002,25.502
7.825,36.337,0.8233,0.1167,0.4057,0.7661,0.007893,0.0,0.009803,22.93
10.375,4.163,0.6307,0.0897,0.3202,0.5021,0.004373,0.0,0.009898,22.44
14.575,0.338,0.3332,0.1363,0.8153,0.6479,0.024676,0.0,0.010497,23.178
13.325,12.713,0.7882,0.1698,1.1122,0.5901,0.044565,0.0,0.011936,19.686
7.525,40.163,0.4347,0.1108,1.0447,0.5324,0.058409,0.0,0.00968,15.344
12.175,13.162,0.9177,0.1603,0.8467,0.4141,0.029446,0.0,0.010966,20.953
14.875,31.838,0.3682,0.1422,1.0942,0.3729,0.040697,0.0,0.010517,21.366
12.725,33.863,0.3997,0.1467,1.1212,0.7716,0.045939,0.000955,0.011395,19.236
11.475,1.238,0.3087,0.1153,1.1437,0.5269,0.050519,0.0,0.010028,18.89
7.975,19.463,0.8022,0.1618,0.8647,0.5351,0.036086,0.0,0.010911,18.4
7.775,3.712,0.6832,0.1118,0.7702,0.5874,0.032665,0.0,0.009895,18.098
6.175,12.938,0.9317,0.1133,0.5767,0.5461,0.019835,0.0,0.010129,19.248
5.375,14.287,0.7953,0.1378,0.3967,0.8349,0.01046,0.00827,0.011068,13.315
5.425,6.862,0.6972,0.1407,0.5182,0.3646,0.017824,0.0,0.011006,17.977
10.425,25.988,0.4452,0.1003,0.8962,0.6451,0.033755,0.0,0.009666,20.641
12.575,29.812,0.5363,0.1373,0.3112,0.7469,0.003327,0.0,0.010991,21.739
6.125,25.312,0.8722,0.1502,0.9412,0.6066,0.055803,0.0,0.011514,13.982
11.975,21.488,0.4173,0.1348,0.6172,0.7111,0.014989,0.0,0.011061,23.694
13.675,37.462,0.5992,0.1447,1.1078,0.4279,0.043335,0.0,0.011065,20.363
6.325,38.587,0.3017,0.1723,0.9862,0.4966,0.056397,0.0,0.012044,14.41
14.425,23.062,0.3402,0.1583,0.6218,0.6121,0.013386,0.0,0.010678,25.837
6.775,17.887,0.5467,0.1368,0.6937,0.7579,0.026477,0.001096,0.010304,18.316
7.875,41.062,0.6797,0.1768,0.5992,0.6644,0.019154,0.0,0.012052,19.203
8.125,11.588,0.8687,0.1207,0.7072,0.6314,0.023893,0.0,0.010346,20.656
8.525,39.712,0.3822,0.1562,0.5453,0.4224,0.014001,0.0,0.011036,21.778
14.475,41.962,0.3473,0.1517,0.8602,0.8321,0.026,0.0,0.010988,23.257
5.325,43.538,0.5257,0.1477,0.5092,0.8376,0.018289,0.0,0.01108,17.34
6.425,31.163,0.7392,0.1653,0.6757,0.3289,0.027603,0.0,0.011141,17.441
13.175,12.263,0.7532,0.1393,0.8692,0.7056,0.028991,0.000841,0.010958,21.311
