chamber_pressure_bar,area_ratio,ambient_pressure_bar,chamber_temp_K,gamma,thrust_coeff_Cf,specific_impulse_s,exit_velocity_ms
109.25,35.562,0.09834,2787.5,1.2342,1.7999,296.8,2838.0
103.25,11.188,0.00979,2812.5,1.2125,1.7523,289.9,2668.2
134.75,8.938,0.00874,2529.2,1.1892,1.7352,274.4,2492.8
53.75,18.312,0.34998,3262.5,1.1542,1.7273,313.3,3091.3
115.25,16.438,0.1443,3379.2,1.2775,1.724,308.5,2915.3
118.25,20.938,0.00796,3137.5,1.3275,1.7273,294.8,2787.9
55.25,32.188,0.00847,3162.5,1.3175,1.7519,303.7,2865.3
80.75,44.188,0.01679,3170.8,1.1575,1.9268,350.2,3247.9
169.25,38.938,0.01611,3370.8,1.1625,1.9311,355.7,3299.4
188.75,43.438,0.00771,2854.2,1.3058,1.7905,290.8,2771.6
56.75,6.688,0.00241,3304.2,1.2392,1.6567,298.7,2702.5
29.75,16.812,0.01825,3320.8,1.3242,1.7125,298.5,2823.7
104.75,49.062,0.66236,2887.5,1.2258,1.5546,261.1,2957.6
155.75,44.938,0.10764,2870.8,1.3042,1.7618,288.4,2788.7
47.75,7.062,0.51099,3054.2,1.1975,1.6198,280.9,2653.2
94.25,18.688,0.07023,2654.2,1.3125,1.7244,270.2,2561.0
197.75,36.312,0.008,2745.8,1.1675,1.8966,317.1,2962.1
83.75,6.312,0.04404,2987.5,1.3192,1.6358,268.5,2482.9
23.75,10.812,0.001,2920.8,1.3408,1.6865,273.6,2554.7
175.25,32.562,0.00726,2637.5,1.3158,1.7699,276.4,2625.0
128.75,24.312,0.01948,3229.2,1.2325,1.8086,320.1,2992.3
130.25,25.062,0.05495,2504.2,1.1858,1.8438,293.4,2720.3
74.75,26.188,0.09207,3237.5,1.1508,1.8618,337.6,3181.0
89.75,22.438,0.02483,3145.8,1.1592,1.8566,334.1,3072.0
76.25,40.438,0.02121,3287.5,1.2092,1.8558,335.4,3166.3
35.75,5.938,0.00438,3445.8,1.2408,1.6563,303.2,2713.5
131.75,28.438,0.02628,2729.2,1.1692,1.8829,310.2,2905.0
43.25,20.562,0.50529,3012.5,1.1608,1.6229,283.3,2987.1
107.75,38.562,0.24438,3020.8,1.2042,1.7831,308.3,3039.3
28.25,42.312,0.00323,3354.2,1.2542,1.8295,328.1,3101.9
70.25,31.062,0.0018,2679.2,1.3225,1.7608,275.6,2621.2
86.75,36.688,0.03518,2754.2,1.2858,1.7818,284.2,2745.4
88.25,22.812,0.07922,2595.8,1.2742,1.7607,274.9,2607.6
38.75,46.812,0.01013,2512.5,1.2225,1.853,291.0,2751.5
92.75,14.562,0.28528,3079.2,1.1942,1.7476,306.1,2874.1
172.25,34.438,0.17923,3329.2,1.3392,1.7143,300.1,2916.0
185.75,19.438,0.10432,3295.8,1.2075,1.8093,324.2,3020.3
199.25,10.062,0.00472,3087.5,1.1825,1.7499,308.2,2802.8
170.75,47.562,0.00396,2970.8,1.2942,1.8022,299.4,2861.7
49.25,13.438,0.00118,2579.2,1.2992,1.699,266.8,2476.7
148.25,29.188,0.00543,3254.2,1.1742,1.8716,337.1,3154.7
85.25,17.562,0.02663,3345.8,1.3208,1.7238,300.2,2841.7
176.75,5.188,0.35417,2795.8,1.1792,1.6491,275.1,2452.9
50.75,26.938,0.00165,2695.8,1.1725,1.8811,308.6,2856.7
20.75,46.062,0.01751,3429.2,1.3025,1.7573,315.2,3056.1
193.25,25.812,0.0775,2645.8,1.2675,1.7668,283.7,2664.9
178.25,19.062,0.00383,2979.2,1.3475,1.7114,282.4,2673.4
106.25,40.062,0.12276,3070.8,1.3358,1.7199,287.6,2825.0
190.25,21.312,0.03042,3245.8,1.2625,1.7913,314.1,2931.3
100.25,35.938,0.00539,3412.5,1.2892,1.7829,326.4,3036.9
181.25,17.938,0.09293,3454.2,1.2808,1.7388,313.4,2966.1
154.25,30.688,0.00104,2612.5,1.3442,1.7479,267.2,2563.1
145.25,40.812,0.17902,2862.5,1.3008,1.746,284.1,2777.3
157.25,47.188,0.20424,2929.2,1.2658,1.7636,294.7,2897.8
58.25,39.688,0.00209,2562.5,1.2442,1.8339,289.8,2721.6
127.25,45.312,0.01886,3395.8,1.1842,1.8918,349.7,3304.6
173.75,5.562,0.00337,3187.5,1.2108,1.6521,296.6,2618.1
136.25,31.438,0.74799,3195.8,1.2292,1.654,291.8,3036.1
116.75,17.188,0.0358,3220.8,1.2025,1.7881,324.1,2963.9
64.25,30.312,0.00141,2554.2,1.1642,1.9016,306.8,2826.3
61.25,27.312,0.00559,3279.2,1.2242,1.8182,326.0,3059.2
179.75,44.562,0.35076,2995.8,1.3492,1.6794,276.2,2769.8
196.25,23.188,0.02341,3420.8,1.2058,1.8276,334.4,3112.7
26.75,23.562,0.25366,2954.2,1.2575,1.5602,261.0,2821.7
101.75,8.188,0.10063,2879.2,1.1958,1.7261,291.7,2620.3
133.25,33.688,0.91977,2962.5,1.2642,1.5741,266.0,2874.8
37.25,25.438,0.06114,3204.2,1.3375,1.6936,290.4,2833.6
124.25,37.812,0.70814,3404.2,1.1708,1.695,313.1,3298.0
187.25,43.062,0.47237,2604.2,1.2708,1.7165,267.6,2710.6
149.75,12.688,0.06886,2704.2,1.2825,1.7052,273.3,2560.6
40.25,35.188,0.14382,2937.5,1.3425,1.633,266.3,2730.1
194.75,12.312,0.03268,3362.5,1.1525,1.7966,334.4,3020.7
46.25,10.438,0.31025,3462.5,1.1658,1.711,315.5,2993.6
62.75,46.438,0.04402,3337.5,1.3108,1.772,306.4,3009.2
67.25,7.438,0.49161,2762.5,1.2175,1.6257,269.5,2518.4
73.25,41.188,0.1702,3004.2,1.2475,1.7498,291.5,2941.5
161.75,9.312,0.02655,3479.2,1.2142,1.7193,318.4,2896.9
25.25,28.812,0.00599,3112.5,1.2875,1.7725,301.7,2875.0
41.75,29.562,0.00552,3437.5,1.2925,1.7683,319.0,3021.7
142.25,11.562,0.08184,3270.8,1.1775,1.7799,319.1,2923.7
